                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.61228,                 0.3036,                0.81103,                0.99291,                      1,                  0.995,                 0.9129,                 0.4265,                0.24315,                0.79889,              0.0016835,              0.0016835,              0.0016835
                     70,                0.62647,                0.31151,                0.81187,                0.99272,                      1,                  0.995,                0.91419,                0.42848,                0.24155,                0.79966,               0.001634,               0.001634,               0.001634
                     71,                0.58907,                0.29699,                0.82134,                0.99266,                      1,                  0.995,                 0.9291,                0.39587,                0.22453,                0.79456,              0.0015845,              0.0015845,              0.0015845
                     72,                0.58579,                0.29578,                0.82224,                0.99248,                      1,                  0.995,                0.92692,                0.40851,                0.23152,                0.79569,               0.001535,               0.001535,               0.001535
                     73,                0.60178,                0.30012,                0.82167,                0.99269,                      1,                  0.995,                0.90891,                 0.4523,                0.24845,                0.80175,              0.0014855,              0.0014855,              0.0014855
                     74,                0.57935,                0.29413,                0.81296,                0.99267,                      1,                  0.995,                0.91843,                0.42807,                0.24184,                0.79943,               0.001436,               0.001436,               0.001436
                     75,                0.59638,                 0.3023,                0.80429,                0.99264,                      1,                  0.995,                0.93369,                0.38183,                0.23737,                0.79492,              0.0013865,              0.0013865,              0.0013865
                     76,                 0.6036,                 0.2951,                0.82454,                0.99291,                      1,                  0.995,                0.94373,                0.37671,                0.23471,                0.79327,               0.001337,               0.001337,               0.001337
                     77,                0.60685,                0.29766,                0.81879,                0.99291,                      1,                  0.995,                0.94114,                0.37742,                0.23391,                0.79392,              0.0012875,              0.0012875,              0.0012875
                     78,                0.60582,                0.29597,                0.81489,                0.99291,                      1,                  0.995,                0.93314,                0.40334,                0.24045,                0.79572,               0.001238,               0.001238,               0.001238
                     79,                0.59369,                0.29556,                  0.818,                0.99249,                      1,                  0.995,                  0.939,                0.38347,                0.22827,                0.79399,              0.0011885,              0.0011885,              0.0011885
                     80,                 0.5566,                0.28506,                0.81221,                0.99249,                      1,                  0.995,                0.94264,                0.37084,                 0.2187,                0.79301,               0.001139,               0.001139,               0.001139
                     81,                0.55104,                0.26913,                 0.8113,                0.99249,                      1,                  0.995,                0.93022,                0.39698,                0.23206,                0.79366,              0.0010895,              0.0010895,              0.0010895
                     82,                0.55225,                0.27974,                0.81407,                0.99249,                      1,                0.99493,                0.91758,                0.40887,                0.23311,                0.79414,                0.00104,                0.00104,                0.00104
                     83,                0.57529,                0.28693,                0.80536,                0.99249,                      1,                  0.995,                0.91842,                0.39622,                0.22826,                 0.7917,              0.0009905,              0.0009905,              0.0009905
                     84,                0.58223,                0.29327,                0.80958,                0.99249,                      1,                  0.995,                0.92532,                0.38995,                0.22713,                0.79175,               0.000941,               0.000941,               0.000941
                     85,                0.56774,                 0.2799,                0.80572,                0.99291,                      1,                  0.995,                 0.9317,                0.38891,                0.22278,                0.79209,              0.0008915,              0.0008915,              0.0008915
                     86,                0.57329,                0.28555,                0.80335,                0.99248,                      1,                0.99493,                0.93132,                0.38642,                0.22317,                0.79221,               0.000842,               0.000842,               0.000842
                     87,                0.55867,                0.27301,                0.80518,                0.99249,                      1,                0.99493,                0.93785,                0.36768,                0.21645,                0.79023,              0.0007925,              0.0007925,              0.0007925
